X,Y,OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,Side,User_fld,Addr_type,IN_Street,IN_City,IN_ZIP,IN_State,USER_Date,USER_Address,USER_City,USER_State,USER_Fatal,USER_Year
-86.2128631771998,41.6693581405887,1,Danielle-Cente,M,100,A,"700 S 24TH ST, SOUTH BEND, 46615",L,0,StreetAddress,700 S 24th St. ,South Bend,,IN,2017/09/05 05:00:00+00,700 S 24th St. ,South Bend,IN,No,2017
-86.211669466094,41.6713272595756,2,Danielle-Cente,M,100,A,"500 S 25TH ST, SOUTH BEND, 46615",L,0,StreetAddress,500 S 25th St. ,South Bend,,IN,2016/10/19 05:00:00+00,500 S 25th St. ,South Bend,IN,Yes,2016
-86.2106518499292,41.7061662508028,3,Danielle-Cente,T,88.59,A,"54100 27TH ST, SOUTH BEND, 46635",L,0,StreetAddress,700 S 27th St. ,South Bend,,IN,2015/05/16 05:00:00+00,700 S 27th St. ,South Bend,IN,No,2015
-86.2038256550651,41.6604574240472,4,Danielle-Cente,M,100,A,"1300 S 31ST ST, SOUTH BEND, 46615",R,0,StreetAddress,1300 S 31st. St. ,South Bend,,IN,2016/12/11 05:00:00+00,1300 S 31st. St. ,South Bend,IN,Yes,2016
-86.1990820412278,41.6624664997068,5,Danielle-Cente,M,100,A,"1200 S 35TH ST, SOUTH BEND, 46615",R,0,StreetAddress,1200 S 35th St. ,South Bend,,IN,2017/08/01 05:00:00+00,1200 S 35th St. ,South Bend,IN,No,2017
-86.1978461568524,41.6702902167509,6,Danielle-Cente,M,100,A,"600 S 36TH ST, SOUTH BEND, 46615",L,0,StreetAddress,600 S 36th St. ,South Bend,,IN,2016/10/10 05:00:00+00,600 S 36th St. ,South Bend,IN,No,2016
-86.2751807353556,41.6875518460748,7,Danielle-Cente,M,100,A,"1000 N ADAMS ST, SOUTH BEND, 46628",R,0,StreetAddress,1000 N Adams St. ,South Bend,,IN,2015/08/17 05:00:00+00,1000 N Adams St. ,South Bend,IN,No,2015
-86.2752581876135,41.6908300062244,8,Danielle-Cente,M,79,A,"1201 N ADAMS ST, SOUTH BEND, 46628",L,0,StreetAddress,1200 N Adams St. ,South Bend,,IN,2015/12/08 05:00:00+00,1200 N Adams St. ,South Bend,IN,No,2015
-86.2657843830805,41.682962983007,9,Danielle-Cente,M,100,A,"500 N ALLEN ST, SOUTH BEND, 46616",L,0,StreetAddress,500 N Allen St. ,South Bend,,IN,2015/12/26 05:00:00+00,500 N Allen St. ,South Bend,IN,No,2015
-86.2660539497648,41.6838765595977,10,Danielle-Cente,M,100,A,"700 N ALLEN ST, SOUTH BEND, 46616",R,0,StreetAddress,700 N Allen St. ,South Bend,,IN,2016/11/13 05:00:00+00,700 N Allen St. ,South Bend,IN,No,2016
-86.2714091316443,41.6947571274697,11,Danielle-Cente,M,100,A,"1500 N ANDERSON AV, SOUTH BEND, 46628",R,0,StreetAddress,1500 N Anderson Ave. ,South Bend,,IN,2016/01/18 05:00:00+00,1500 N Anderson Ave. ,South Bend,IN,Yes,2016
-86.2330834036985,41.683553038733,12,Danielle-Cente,M,81.74,A,"600 N ARTHUR ST, SOUTH BEND, 46617",R,0,StreetAddress,600 N Arhur St. ,South Bend,,IN,2017/07/22 05:00:00+00,600 N Arhur St. ,South Bend,IN,No,2017
-86.2935289147085,41.6973055625945,13,Danielle-Cente,M,79,A,"1401 N BENDIX DR, SOUTH BEND, 46628",L,0,StreetAddress,1400 N Bendix Dr. ,South Bend,,IN,2015/03/24 05:00:00+00,1400 N Bendix Dr. ,South Bend,IN,Yes,2015
-86.2887510309516,41.6665783210745,14,Danielle-Cente,M,79,A,"801 S BENDIX DR, SOUTH BEND, 46619",L,0,StreetAddress,800 S Bendix Dr. ,South Bend,,IN,2017/03/16 05:00:00+00,800 S Bendix Dr. ,South Bend,IN,Yes,2017
-86.2732034548193,41.6821738716202,15,Danielle-Cente,T,100,A,"601 N BIRDSELL ST, SOUTH BEND, 46628",L,0,StreetAddress,300 N Birdsell St. ,South Bend,,IN,2017/12/11 05:00:00+00,300 N Birdsell St. ,South Bend,IN,No,2017
-86.2732087238748,41.6805621224485,16,Danielle-Cente,M,100,A,"400 N BIRDSELL ST, SOUTH BEND, 46628",R,0,StreetAddress,400 N Birdsell St. ,South Bend,,IN,2015/09/20 05:00:00+00,400 N Birdsell St. ,South Bend,IN,Yes,2015
-86.2674558635949,41.6893659136702,17,Danielle-Cente,M,100,A,"1100 N BLAINE AV, SOUTH BEND, 46616",R,0,StreetAddress,1100 N Blaine Ave. ,South Bend,,IN,2017/02/06 05:00:00+00,1100 N Blaine Ave. ,South Bend,IN,Yes,2017
-86.2674726472753,41.6909103353156,18,Danielle-Cente,T,86.3,A,"1201 N BLAINE AV, SOUTH BEND, 46628",L,0,StreetAddress,800 N Blaine St. ,South Bend,,IN,2015/10/10 05:00:00+00,800 N Blaine St. ,South Bend,IN,No,2015
-86.2875403024931,41.7199609170964,19,Danielle-Cente,T,100,A,"2653 N BOW CT, SOUTH BEND, 46628",L,0,StreetAddress,2600 N Bow Ct. ,South Bend,,IN,2015/12/24 05:00:00+00,2600 N Bow Ct. ,South Bend,IN,No,2015
-86.2379132978832,41.6536771976655,20,Danielle-Cente,M,100,A,"900 E BOWMAN ST, SOUTH BEND, 46613",R,0,StreetAddress,900 E Bowman St. ,South Bend,,IN,2016/08/19 05:00:00+00,900 E Bowman St. ,South Bend,IN,No,2016
-86.2379132978832,41.6536771976655,21,Danielle-Cente,M,100,A,"900 E BOWMAN ST, SOUTH BEND, 46613",R,0,StreetAddress,900 E Bowman St. ,South Bend,,IN,2016/08/20 05:00:00+00,900 E Bowman St. ,South Bend,IN,No,2016
-86.2444435286515,41.6601777860425,22,Danielle-Cente,M,100,A,"500 E BROADWAY ST, SOUTH BEND, 46613",R,0,StreetAddress,500 E Broadway St. ,South Bend,,IN,2016/05/28 05:00:00+00,500 E Broadway St. ,South Bend,IN,Yes,2016
-86.24105887229,41.6602604541246,23,Danielle-Cente,M,100,A,"700 E BROADWAY ST, SOUTH BEND, 46613",R,0,StreetAddress,700 E Broadway St. ,South Bend,,IN,2016/03/12 05:00:00+00,700 E Broadway St. ,South Bend,IN,No,2016
-86.2777045282716,41.6892122934806,24,Danielle-Cente,M,100,A,"1100 N BROOKFIELD ST, SOUTH BEND, 46628",R,0,StreetAddress,1100 N Brookfield St. ,South Bend,,IN,2015/05/24 05:00:00+00,1100 N Brookfield St. ,South Bend,IN,No,2015
-86.2779377252534,41.7015112892434,25,Danielle-Cente,M,79,A,"1901 N BROOKFIELD ST, SOUTH BEND, 46628",L,0,StreetAddress,1900 N Brookfield St. ,South Bend,,IN,2017/07/31 05:00:00+00,1900 N Brookfield St. ,South Bend,IN,No,2017
-86.229898487857,41.6345356164444,26,Danielle-Cente,T,100,A,"3928 S BROOKTON DR, SOUTH BEND, 46614",L,0,StreetAddress,4000 S Brookton Dr. ,South Bend,,IN,2016/04/05 05:00:00+00,4000 S Brookton Dr. ,South Bend,IN,No,2016
-86.2645996849454,41.7007954141564,27,Danielle-Cente,T,88.59,A,"1014 BRYAN ST, SOUTH BEND, 46616",L,0,StreetAddress,1000 W Bryan St. ,South Bend,,IN,2015/12/25 05:00:00+00,1000 W Bryan St. ,South Bend,IN,No,2015
-86.2689749040406,41.6540156148425,28,Danielle-Cente,T,90.87,A,"1300 W CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,1300 E Calvert St. ,South Bend,,IN,2017/11/30 05:00:00+00,1300 E Calvert St. ,South Bend,IN,No,2017
-86.2478754856184,41.6543424401628,29,Danielle-Cente,M,100,A,"200 E CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,200 E Calvert St. ,South Bend,,IN,2017/06/10 05:00:00+00,200 E Calvert St. ,South Bend,IN,No,2017
-86.2478754856184,41.6543424401628,30,Danielle-Cente,M,100,A,"200 E CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,200 E Calvert St. ,South Bend,,IN,2017/06/22 05:00:00+00,200 E Calvert St. ,South Bend,IN,No,2017
-86.2478754856184,41.6543424401628,31,Danielle-Cente,M,100,A,"200 E CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,200 E Calvert St. ,South Bend,,IN,2015/01/04 05:00:00+00,200 E Calvert St. ,South Bend,IN,Yes,2015
-86.2478754856184,41.6543424401628,32,Danielle-Cente,M,100,A,"200 E CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,200 E Calvert St. ,South Bend,,IN,2015/01/04 05:00:00+00,200 E Calvert St. ,South Bend,IN,Yes,2015
-86.2587573952687,41.6541440319283,33,Danielle-Cente,M,100,A,"700 W CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,700 W Calvert St. ,South Bend,,IN,2017/12/04 05:00:00+00,700 W Calvert St. ,South Bend,IN,No,2017
-86.2422073030191,41.6818841846486,34,Danielle-Cente,T,100,A,"E CEDAR ST, SOUTH BEND, 46617",L,0,StreetAddress,1200 E Cedar St. ,South Bend,,IN,2016/09/26 05:00:00+00,1200 E Cedar St. ,South Bend,IN,Yes,2016
-86.3022118952978,41.6776787686761,35,Danielle-Cente,M,100,A,"200 N CHICAGO ST, SOUTH BEND, 46619",R,0,StreetAddress,200 N Chicago St. ,South Bend,,IN,2015/08/10 05:00:00+00,200 N Chicago St. ,South Bend,IN,No,2015
-86.3021103785956,41.6719048893626,36,Danielle-Cente,M,100,A,"400 S CHICAGO ST, SOUTH BEND, 46619",L,0,StreetAddress,400 S Chicago St. ,South Bend,,IN,2017/01/02 05:00:00+00,400 S Chicago St. ,South Bend,IN,No,2017
-86.2687383259833,41.6911556413325,37,Danielle-Cente,T,86.3,A,"N CLEVELAND AV, SOUTH BEND, 46628",L,0,StreetAddress,1000 N Cleveland St. ,South Bend,,IN,2015/05/17 05:00:00+00,1000 N Cleveland St. ,South Bend,IN,No,2015
-86.2686887063542,41.6893507671867,38,Danielle-Cente,M,100,A,"1100 N CLEVELAND AV, SOUTH BEND, 46628",R,0,StreetAddress,1100 N Cleveland Ave. ,South Bend,,IN,2016/09/23 05:00:00+00,1100 N Cleveland Ave. ,South Bend,IN,No,2016
-86.2686887063542,41.6893507671867,39,Danielle-Cente,M,100,A,"1100 N CLEVELAND AV, SOUTH BEND, 46628",R,0,StreetAddress,1100 N Cleveland Ave. ,South Bend,,IN,2016/09/23 05:00:00+00,1100 N Cleveland Ave. ,South Bend,IN,No,2016
-86.2686887063542,41.6893507671867,40,Danielle-Cente,M,100,A,"1100 N CLEVELAND AV, SOUTH BEND, 46628",R,0,StreetAddress,1100 N Cleveland Ave. ,South Bend,,IN,2016/09/23 05:00:00+00,1100 N Cleveland Ave. ,South Bend,IN,No,2016
-86.3197898875214,41.6805074493491,41,Danielle-Cente,T,86.3,A,"5202 W COLFAX AV, SOUTH BEND, 46619",L,0,StreetAddress,200 W Colfax St. ,South Bend,,IN,2016/05/31 05:00:00+00,200 W Colfax St. ,South Bend,IN,Yes,2016
-86.242887553662,41.6778170609215,42,Danielle-Cente,M,90.87,A,"600 E COLFAX AV, SOUTH BEND, 46617",R,0,StreetAddress,600 W Colfax Ave. ,South Bend,,IN,2015/06/13 05:00:00+00,600 W Colfax Ave. ,South Bend,IN,No,2015
-86.2612621205719,41.6776419521892,43,Danielle-Cente,M,100,A,"800 W COLFAX AV, SOUTH BEND, 46601",L,0,StreetAddress,800 W Colfax Ave. ,South Bend,,IN,2017/05/05 05:00:00+00,800 W Colfax Ave. ,South Bend,IN,No,2017
-86.2764459256466,41.6892273942471,44,Danielle-Cente,M,100,A,"1100 N COLLEGE ST, SOUTH BEND, 46628",R,0,StreetAddress,1100 N College St. ,South Bend,,IN,2017/05/16 05:00:00+00,1100 N College St. ,South Bend,IN,No,2017
-86.2764743767956,41.6908184965005,45,Danielle-Cente,M,79,A,"1201 N COLLEGE ST, SOUTH BEND, 46628",L,0,StreetAddress,1200 N College St. ,South Bend,,IN,2016/07/02 05:00:00+00,1200 N College St. ,South Bend,IN,No,2016
-86.2765410579983,41.6947721697417,46,Danielle-Cente,M,100,A,"1500 N COLLEGE ST, SOUTH BEND, 46628",R,0,StreetAddress,1500 N College St. ,South Bend,,IN,2017/04/17 05:00:00+00,1500 N College St. ,South Bend,IN,No,2017
-86.2765410579983,41.6947721697417,47,Danielle-Cente,M,100,A,"1500 N COLLEGE ST, SOUTH BEND, 46628",R,0,StreetAddress,1500 N College St. ,South Bend,,IN,2017/04/17 05:00:00+00,1500 N College St. ,South Bend,IN,No,2017
-86.2459763570661,41.6870439347429,48,Danielle-Cente,M,89.04,A,"400 E CORBY BLVD, SOUTH BEND, 46617",R,0,StreetAddress,400 E Corby St. ,South Bend,,IN,2015/07/28 05:00:00+00,400 E Corby St. ,South Bend,IN,Yes,2015
-86.30017591625,41.6898486078567,49,Danielle-Cente,T,88.59,A,"3620 CURTISS DR, SOUTH BEND, 46628",L,0,StreetAddress,3700 N Curtiss Dr. ,South Bend,,IN,2017/07/08 05:00:00+00,3700 N Curtiss Dr. ,South Bend,IN,No,2017
-86.2378458500655,41.656044005685,50,Danielle-Cente,M,100,A,"900 E DAYTON ST, SOUTH BEND, 46613",R,0,StreetAddress,900 E Dayton St. ,South Bend,,IN,2017/06/07 05:00:00+00,900 E Dayton St. ,South Bend,IN,No,2017
-86.2699004486961,41.6877811413609,51,Danielle-Cente,M,100,A,"1000 N DIAMOND AV, SOUTH BEND, 46628",R,0,StreetAddress,1000 N Diamond Ave. ,South Bend,,IN,2016/04/23 05:00:00+00,1000 N Diamond Ave. ,South Bend,IN,No,2016
-86.2692074001408,41.6908967188749,52,Danielle-Cente,T,100,A,"1200 N DIAMOND AV, SOUTH BEND, 46628",R,0,StreetAddress,1200 N Diamond Ave. ,South Bend,,IN,2017/02/09 05:00:00+00,1200 N Diamond Ave. ,South Bend,IN,No,2017
-86.2698902852483,41.6873961220062,53,Danielle-Cente,M,100,A,"900 N DIAMOND AV, SOUTH BEND, 46628",R,0,StreetAddress,900 N Diamond Ave. ,South Bend,,IN,2016/07/03 05:00:00+00,900 N Diamond Ave. ,South Bend,IN,No,2016
-86.2671770265189,41.6522290295508,54,Danielle-Cente,M,90.87,A,"1200 W DONALD ST, SOUTH BEND, 46613",L,0,StreetAddress,1200 E Donald St. ,South Bend,,IN,2017/04/15 05:00:00+00,1200 E Donald St. ,South Bend,IN,No,2017
-86.2460602106223,41.6525735312986,55,Danielle-Cente,M,100,A,"300 E DONALD ST, SOUTH BEND, 46613",L,0,StreetAddress,300 E Donald St. ,South Bend,,IN,2017/12/01 05:00:00+00,300 E Donald St. ,South Bend,IN,No,2017
-86.2460602106223,41.6525735312986,56,Danielle-Cente,M,100,A,"300 E DONALD ST, SOUTH BEND, 46613",L,0,StreetAddress,300 E Donald St. ,South Bend,,IN,2016/07/24 05:00:00+00,300 E Donald St. ,South Bend,IN,No,2016
-86.2479096357138,41.6568555617467,57,Danielle-Cente,T,86.3,A,"202 E DUBAIL AV, SOUTH BEND, 46613",L,0,StreetAddress,200 E Dubail St. ,South Bend,,IN,2015/11/09 05:00:00+00,200 E Dubail St. ,South Bend,IN,No,2015
-86.2610656846944,41.6563836653885,58,Danielle-Cente,M,89.04,A,"800 W DUBAIL AV, SOUTH BEND, 46613",L,0,StreetAddress,800 W Dubail St. ,South Bend,,IN,2017/08/29 05:00:00+00,800 W Dubail St. ,South Bend,IN,No,2017
-86.2717014652581,41.6666976083343,59,Danielle-Cente,M,100,A,"1500 W DUNHAM ST, SOUTH BEND, 46619",L,0,StreetAddress,1500 W Dunham St. ,South Bend,,IN,2017/05/02 05:00:00+00,1500 W Dunham St. ,South Bend,IN,No,2017
-86.2496506832514,41.6461999701452,60,Danielle-Cente,M,100,A,"100 E ECKMAN ST, SOUTH BEND, 46614",R,0,StreetAddress,100 E Eckman St. ,South Bend,,IN,2015/05/19 05:00:00+00,100 E Eckman St. ,South Bend,IN,No,2015
-86.2451755811979,41.6463133841755,61,Danielle-Cente,M,100,A,"400 E ECKMAN ST, SOUTH BEND, 46614",R,0,StreetAddress,400 E Eckman St. ,South Bend,,IN,2017/06/15 05:00:00+00,400 E Eckman St. ,South Bend,IN,No,2017
-86.235492384355,41.6912202137181,62,Danielle-Cente,M,100,A,"1231 N EDDY ST, SOUTH BEND, 46617",L,0,StreetAddress,400 N Eddy St. ,South Bend,,IN,2015/01/01 05:00:00+00,400 N Eddy St. ,South Bend,IN,No,2015
-86.2825734181995,41.6927099028913,63,Danielle-Cente,M,100,A,"1300 N ELMER ST, SOUTH BEND, 46628",R,0,StreetAddress,1300 N Elmer St. ,South Bend,,IN,2016/12/02 05:00:00+00,1300 N Elmer St. ,South Bend,IN,No,2016
-86.2826523964936,41.6974406663379,64,Danielle-Cente,M,79,A,"1701 N ELMER ST, SOUTH BEND, 46628",L,0,StreetAddress,1700 N Elmer St. ,South Bend,,IN,2016/08/01 05:00:00+00,1700 N Elmer St. ,South Bend,IN,No,2016
-86.2765250697377,41.6938758698828,65,Danielle-Cente,M,100,A,"1800 W ELWOOD AV, SOUTH BEND, 46628",L,0,StreetAddress,1800 W Elwood Ave. ,South Bend,,IN,2015/02/26 05:00:00+00,1800 W Elwood Ave. ,South Bend,IN,No,2015
-86.2801496173577,41.6938474422232,66,Danielle-Cente,M,89.04,A,"2100 W ELWOOD AV, SOUTH BEND, 46628",L,0,StreetAddress,2100 W Elwood St. ,South Bend,,IN,2016/07/08 05:00:00+00,2100 W Elwood St. ,South Bend,IN,No,2016
-86.2825916744261,41.6938237195235,67,Danielle-Cente,M,100,A,"2300 W ELWOOD AV, SOUTH BEND, 46628",L,0,StreetAddress,2300 W Elwood Ave. ,South Bend,,IN,2016/10/16 05:00:00+00,2300 W Elwood Ave. ,South Bend,IN,No,2016
-86.2825916744261,41.6938237195235,68,Danielle-Cente,M,100,A,"2300 W ELWOOD AV, SOUTH BEND, 46628",L,0,StreetAddress,2300 W Elwood Ave. ,South Bend,,IN,2016/10/16 05:00:00+00,2300 W Elwood Ave. ,South Bend,IN,No,2016
-86.2478453028108,41.6507055030958,69,Danielle-Cente,M,100,A,"200 E EWING AV, SOUTH BEND, 46614",L,0,StreetAddress,200 E Ewing Ave. ,South Bend,,IN,2017/01/01 05:00:00+00,200 E Ewing Ave. ,South Bend,IN,No,2017
-86.2478204254256,41.6479375783673,70,Danielle-Cente,M,89.04,A,"200 E FAIRVIEW AV, SOUTH BEND, 46614",L,0,StreetAddress,200 E Fairview St. ,South Bend,,IN,2015/04/17 05:00:00+00,200 E Fairview St. ,South Bend,IN,No,2015
-86.2972079800493,41.6701350808765,71,Danielle-Cente,M,79,A,"501 S FALCON ST, SOUTH BEND, 46619",L,0,StreetAddress,500 S Falcon St. ,South Bend,,IN,2015/04/19 05:00:00+00,500 S Falcon St. ,South Bend,IN,No,2015
-86.2718685497399,41.682194451513,72,Danielle-Cente,M,89.04,A,"1400 W FASSNACHT ST, SOUTH BEND, 46628",L,0,StreetAddress,1400 W Fassnacht Ave. ,South Bend,,IN,2016/06/24 05:00:00+00,1400 W Fassnacht Ave. ,South Bend,IN,Yes,2016
-86.2738741512736,41.6821712655293,73,Danielle-Cente,M,89.04,A,"1600 W FASSNACHT ST, SOUTH BEND, 46628",L,0,StreetAddress,1600 W Fassnacht Ave. ,South Bend,,IN,2017/05/29 05:00:00+00,1600 W Fassnacht Ave. ,South Bend,IN,No,2017
-86.286387783812,41.7183015631784,74,Danielle-Cente,T,100,A,"2502 W FLINT CT, SOUTH BEND, 46628",L,0,StreetAddress,2400 W Flint Ct. ,South Bend,,IN,2016/04/10 05:00:00+00,2400 W Flint Ct. ,South Bend,IN,Yes,2016
-86.3195024518635,41.6658393310079,75,Danielle-Cente,T,100,A,"5139 W FORD ST, SOUTH BEND, 46619",L,0,StreetAddress,1500 W Ford St. ,South Bend,,IN,2015/08/01 05:00:00+00,1500 W Ford St. ,South Bend,IN,No,2015
-86.2369139786554,41.6805865659488,76,Danielle-Cente,M,100,A,"400 N FRANCES ST, SOUTH BEND, 46617",R,0,StreetAddress,400 N Frances St. ,South Bend,,IN,2016/06/28 05:00:00+00,400 N Frances St. ,South Bend,IN,No,2016
-86.2545148578898,41.6515689778734,77,Danielle-Cente,M,100,A,"2200 S FRANKLIN ST, SOUTH BEND, 46613",L,0,StreetAddress,2200 S Franklin St. ,South Bend,,IN,2015/07/11 05:00:00+00,2200 S Franklin St. ,South Bend,IN,Yes,2015
-86.2922791892185,41.6855189970797,78,Danielle-Cente,T,88.59,A,"FREDERICKSON ST, SOUTH BEND, 46628",L,0,StreetAddress,2000 W Frederickson St. ,South Bend,,IN,2017/06/01 05:00:00+00,2000 W Frederickson St. ,South Bend,IN,No,2017
-86.2922791892185,41.6855189970797,79,Danielle-Cente,T,88.59,A,"FREDERICKSON ST, SOUTH BEND, 46628",L,0,StreetAddress,2100 W Frederickson St. ,South Bend,,IN,2017/08/02 05:00:00+00,2100 W Frederickson St. ,South Bend,IN,Yes,2017
-86.2922791892185,41.6855189970797,80,Danielle-Cente,T,88.59,A,"FREDERICKSON ST, SOUTH BEND, 46628",L,0,StreetAddress,2100 W Frederickson St. ,South Bend,,IN,2017/08/02 05:00:00+00,2100 W Frederickson St. ,South Bend,IN,Yes,2017
-86.2922791892185,41.6855189970797,81,Danielle-Cente,T,88.59,A,"FREDERICKSON ST, SOUTH BEND, 46628",L,0,StreetAddress,2100 W Frederickson St. ,South Bend,,IN,2017/08/02 05:00:00+00,2100 W Frederickson St. ,South Bend,IN,No,2017
-86.2922791892185,41.6855189970797,82,Danielle-Cente,T,88.59,A,"FREDERICKSON ST, SOUTH BEND, 46628",L,0,StreetAddress,2100 W Frederickson St. ,South Bend,,IN,2017/08/02 05:00:00+00,2100 W Frederickson St. ,South Bend,IN,No,2017
-86.2922791892185,41.6855189970797,83,Danielle-Cente,T,88.59,A,"FREDERICKSON ST, SOUTH BEND, 46628",L,0,StreetAddress,2400 W Frederickson St. ,South Bend,,IN,2015/06/09 05:00:00+00,2400 W Frederickson St. ,South Bend,IN,Yes,2015
-86.2850343882158,41.7014255767178,84,Danielle-Cente,M,100,A,"1900 N FREMONT ST, SOUTH BEND, 46628",R,0,StreetAddress,1900 N Fremont St. ,South Bend,,IN,2017/09/22 05:00:00+00,1900 N Fremont St. ,South Bend,IN,No,2017
-86.3068685663116,41.6778857602044,85,Danielle-Cente,M,100,A,"200 N GLADSTONE ST, SOUTH BEND, 46619",R,0,StreetAddress,200 N Gladstone St. ,South Bend,,IN,2016/12/20 05:00:00+00,200 N Gladstone St. ,South Bend,IN,No,2016
-86.2183442131559,41.6563433630607,86,Danielle-Cente,T,100,A,"1905 E GOODSON CT, SOUTH BEND, 46613",R,0,StreetAddress,1900 E Goodson Ct. ,South Bend,,IN,2015/12/06 05:00:00+00,1900 E Goodson Ct. ,South Bend,IN,No,2015
